id,level,np_user
1,1,7426
2,1,7020
3,1,7197
4,1,7198
5,1,7199
6,1,7202
7,1,7205
8,1,7206
9,4,7418
10,1,7423
11,1,7437
12,1,7443
13,1,7201
14,1,G752
15,1,G763
16,1,H006
17,1,H109
18,1,H114
19,1,H119
20,1,H123
21,1,H186
22,1,H190
23,1,H191
24,1,H192
25,1,H193
26,1,H194
27,1,H196
28,1,H198
29,1,H199
30,1,I402
31,1,I403
32,1,I404
33,1,I405
34,1,I406
35,1,I407
36,1,I409
37,1,I418
38,1,I420
39,1,I421
40,1,I423
41,1,I424
42,1,I425
43,1,I426
44,1,I428
45,1,I429
46,1,I430
47,1,I431
48,1,I432
49,1,I434
50,1,I437
51,1,I441
52,1,I442
53,10,I444
54,1,I704
55,1,H071
56,1,G834
57,1,G840
58,1,G715
59,1,G849
60,1,H028
61,1,H195
62,1,I435
63,1,H200
64,1,I411
65,1,I417
66,1,I439
67,1,J370
68,1,J372
69,1,J373
70,1,J374
71,1,J375
72,1,J379
73,1,J381
74,1,J391
75,1,J392
76,1,J393
77,1,J394
78,1,J395
79,1,J441
